Date,Open,High,Low,Close,Volume,등락률,Adj Close
2023-06-29,548000,561000,547000,550000,230986,0.5484460694698354,550000
2023-06-30,551000,556000,548000,553000,173743,0.5454545454545455,553000
2023-07-03,557000,576000,556000,573000,290579,3.616636528028933,573000
2023-07-04,573000,574000,564000,569000,252640,-0.6980802792321117,569000
2023-07-05,569000,571000,564000,567000,159456,-0.35149384885764495,567000
2023-07-06,569000,572000,562000,565000,200896,-0.3527336860670194,565000
2023-07-07,570000,574000,556000,562000,287258,-0.5309734513274336,562000
2023-07-10,564000,564000,550000,550000,302475,-2.135231316725979,550000
2023-07-11,553000,557000,547000,550000,257343,0.0,550000
2023-07-12,538000,539000,530000,534000,1969703,-2.909090909090909,534000
2023-07-13,535000,544000,534000,542000,503736,1.4981273408239701,542000
2023-07-14,544000,546000,538000,542000,324259,0.0,542000
2023-07-17,541000,542000,533000,538000,248574,-0.7380073800738007,538000
2023-07-18,539000,553000,534000,549000,557507,2.0446096654275094,549000
2023-07-19,550000,564000,546000,560000,494088,2.0036429872495445,560000
2023-07-20,560000,563000,551000,556000,319843,-0.7142857142857143,556000
2023-07-21,549000,574000,543000,569000,508472,2.338129496402878,569000
2023-07-24,573000,602000,568000,597000,1074661,4.92091388400703,597000
2023-07-25,607000,610000,585000,594000,756355,-0.5025125628140703,594000
2023-07-26,595000,620000,560000,580000,1706916,-2.356902356902357,580000
2023-07-27,577000,577000,535000,540000,1180424,-6.896551724137931,540000
2023-07-28,540000,552000,540000,542000,561173,0.3703703703703704,542000
2023-07-31,545000,562000,545000,560000,378890,3.3210332103321036,560000
2023-08-01,562000,568000,550000,557000,406755,-0.5357142857142857,557000
2023-08-02,551000,559000,543000,544000,273058,-2.333931777378815,544000
2023-08-03,541000,551000,539000,543000,299858,-0.1838235294117647,543000
2023-08-04,545000,548000,540000,540000,164545,-0.5524861878453038,540000
2023-08-07,540000,542000,513000,514000,549808,-4.814814814814815,514000
